15,process,"78,679",process (n) 66382 process (v) 6739 processing (n) 5558 processor (n) Sci 3072 processed (j) Med 535 unprocessed (j) Med 85 reprocess (v) Law 41,
16,culture,"77,470",culture (n) 42561 cultural (j) 34239 culturally (r) Edu 3586 cross-cultural (j) Edu 1176 subculture (n) 670 intercultural (j) Edu 398 cultured (j) 284 subcultural (j) 81uncultured (j) 38,
17,history,"77,164",history (n) 53474 historical (j) 19615 historian (n) His 7700 historically (r) 4075 historic (j) 3441 prehistory (n) 259 historicity (n) Hum+Rel 184 historicism (n) Hum 165,
18,active,"76,010",activity (n) 55151 active (j) 14938 activist (n) 4067 actively (r) 4000 activism (n) 1419 inactive (j) 502 inactivity (n) Med 286 active (n) Med 39,
19,support,"75,683",support (n) 36597 support (v) 36072 supporter (n) 3402 supportive (j) 2706 supporting (j) 1798 supported (j) 158 unsupported (j) 150,
20,individual,"72,071",individual (n) 39359 individual (j) 28495 individually (r) 2285 individualism (n) 1077 individualized (j) Edu 901 individuality (n) Hum 793 individualistic (j) 623individualize (v) Edu 309 individualist (n) 232 individualist (j) Soc 20,
21,inform,"71,870",information (n) 61931 inform (v) 7547 informed (j) 1712 informant (n) Soc 1707 informational (j) 591 info (n) Med 480 misinformation (n) Rel 238 uninformed (j) 210informer (n) His+Law 141 informing (n) 89 misinform (v) 69 misinformed (j) 17,
22,important,"70,250",important (j) 67258 importantly (r) 2515 unimportant (j) 477,
23,include,"70,098",include (v) 70098 including (i) 41265 included (j) 296,
24,form,"67,699",form (n) 45275 form (v) 22341 formless (j) Hum+Rel 67 unformed (j) Hum 49 preformed (j) Med 44 formed (j) 44 forming (n) 39 preform (v) Sci 31 formlessness (n)Hum+Rel 16,
25,require,"66,817",require (v) 49554 requirement (n) 13576 required (j) 3687,
26,control,"65,736",control (n) 45690 control (v) 19621 controller (n) Sci 1780 controlled (j) Med 1392 uncontrolled (j) 425 controlling (j) 353 uncontrollable (j) 337 controllable (j) 329uncontrollably (r) 64,
27,product,"65,540",product (n) 33132 production (n) 22378 productivity (n) 4145 productive (j) 3785 by-product (n) 982 counterproductive (j) 624 unproductive (j) 282 productively(r) 212,
28,change,"64,593",change (n) 59284 change (v) 33392 changing (j) 4871 unchanged (j) 818 changed (j) 487 unchanging (j) 304 changeable (j) 134 changer (n) 119 changing (n) 111unchangeable (j) Rel 78,
29,model,"63,948",model (n) 57310 model (v) 3902 modeling (n) 2616 modeler (n) Sci 143 modelling (n) 120 modeled (j) 116 model (j) 15,
30,significant,"63,901",significant (j) 44415 significantly (r) 18615 insignificant (j) 844 insignificantly (r) 27,
31,data,"63,584",data (n) 63480 datum (n) 104,
32,nature,"62,333",nature (n) 34413 natural (j) 27263 naturally (r) 4259 naturalist (n) 657 naturalistic (j) Hum 570 unnatural (j) 442 naturalism (n) Hum+Rel 354 naturalness (n) Hum 112natural (r) 84 unnaturally (r) 60 natural (n) Med 34 naturalistically (r) Hum 19,
33,effect,"61,659",effect (n) 60078 effect (v) 1581,
34,present,"60,799",present (v) 30357 present (j) 21652 presentation (n) 7080 present (n) 6809 present (r) 1338 presenter (n) 372 presented (j) Rel 160 presentational (j) Hum 39presentable (j) 21,
35,value,"60,793",value (n) 49900 valuable (j) 6049 value (v) 3661 valuation (n) Fin 817 invaluable (j) 726 valued (j) 420 valuables (n) Soc 122 revaluation (n) 112 valueless (j) 37revalue (v) His 35 valuing (n) Rel 22,
36,analyze,"60,112",analysis (n) 48500 analyze (v) 11523 analyse (v) Med 1158 analyzed (j) 89,
37,economy,"60,070",economic (j) 52368 economy (n) 23059 economics (n) 4885 economist (n) 3346 economically (r) 2817 economical (j) 538 economize (v) 74 uneconomic (j) Law 43uneconomical (j) 30,
38,general,"59,567",general (j) 31754 generally (r) 18534 general (r) 7739 general (n) His 6700 generalization (n) Edu 1837 generalize (v) Edu 1268 generalized (j) 1150 generality (n)390 generalist (n) Hum 266 generalised (j) Med 43 generalizing (j) Hum 17,
39,table,"59,158",table (n) 59158 table (v) Law 92 tablecloth (n) 79,
40,policy,"58,987",policy (n) 58987 policy-making (n) 1028,
41,university,"57,835",university (n) 57835,
42,perform,"57,723",performance (n) 36344 perform (v) 21379 performer (n) Hum 2329 performing (n) Hum 1007,
43,human,"55,105",human (j) 54672 human (n) 10375 humanity (n) Rel 4096 humanist (n) Rel 730 humanist (j) Rel 721 humanism (n) Rel 629 humanistic (j) 433 inhuman (j) 180 humanly(r) Rel 177 humanness (n) 85 inhumanity (n) Rel 85,
44,particular,"53,815",particularly (r) 23286 particular (j) 23040 particular (r) 7489 particularity (n) Rel 460 particulars (n) 433 particularism (n) 115 particularistic (j) 98 particularize (v) Hum50 particularized (j) Hum 47,
45,suggest,"53,787",suggest (v) 52412 suggestion (n) 5895 suggestive (j) 741 suggested (j) 634 suggestively (r) Hum 33 suggestiveness (n) Hum 19 suggestible (j) Rel 17,
46,science,"53,170",science (n) 37253 scientist (n) Sci 19311 scientific (j) 15091 scientifically (r) 826 unscientific (j) 114,
47,low,"51,858",low (j) 51858 low (r) 1910 low (n) 465 lowly (j) 253 low (v) Edu 13,
48,measure,"50,305",measure (n) 29534 measure (v) 19093 measurement (n) 9030 measurable (j) 845 measured (j) 833 measuring (j) 281 immeasurably (r) 94 immeasurable (j) 84measurably (r) Edu 62 unmeasured (j) Med 61 measuring (n) 13,
49,both,"49,946",both (d) 57485 both (r) 49946,
50,design,"49,526",design (n) 26112 design (v) 23346 designer (n) 3222 designed (j) 68 designing (n) 55,
51,society,"49,476",society (n) 47060 societal (j) 2416,
52,role,"49,426",role (n) 49426,
53,difference,"49,081",difference (n) 49081,
54,tradition,"48,701",traditional (j) 25145 tradition (n) 19091 traditionally (r) 4061 nontraditional (j) Edu 1193 traditionalist (n) 404 traditionalist (j) 198 traditionalism (n) 154,
55,organize,"48,507",organization (n) 35398 organize (v) 11191 organizational (j) Edu 5880 organized (j) 2121 organizer (n) 1344 reorganization (n) 729 reorganize (v) 601 organizing (j)442 organizing (n) His 150 organizationally (r) 107 unorganized (j) Law 104 organisational (j) Med 44 reorganized (j) 39 organised (j) His+Med 21 organiser (n)His+Med 15,
56,practice,"47,915",practice (n) 47915 practice (v) 4609 practicing (j) 267 practise (v) Med 123 practiced (j) 116 practicing (n) Hum 42 practising (j) Med 19,
57,report,"46,865",report (v) 44666 report (n) 27117 reporter (n) Law 3261 reporting (n) 2552 reported (j) 2199 reportedly (r) 1360 self-reported (j) Soc 1100 unreported (j) 158 reporting(j) Edu 28,
58,thus,"46,287",thus (r) 46287,
59,interest,"46,255",interest (n) 43498 interesting (j) 9003 interested (j) 8350 interestingly (r) 1833 self-interest (n) 924 interest (v) 555 uninterested (j) 189 uninteresting (j) 115,
60,associate,"46,060",associate (v) 23565 association (n) 22245 associate (n) 3464 associate (j) 2548 associated (j) 2537 associative (j) 250,
61,technology,"45,955",technology (n) 40104 technological (j) 5277 tech (n) 2143 high-tech (j) 1437 technologically (r) 574 technologist (n) Sci 249,
62,term,"45,677",term (n) 29927 terms (i) 14012 long-term (j) 10807 short-term (j) 3023 term (v) 1920 midterm (n) Law 190,
63,identify,"45,515",identify (v) 36820 identity (n) 23097 identification (n) 7420 identifiable (j) 903 identified (j) Edu 617 unidentified (j) 427 identifier (n) 212 identifying (j) 160unidentifiable (j) 46,
64,indicate,"45,150",indicate (v) 38022 indicator (n) 5934 indication (n) 3263 indicative (j) 1109 indicated (j) 85,
65,similar,"44,873",similar (j) 31385 similarly (r) 8941 similarity (n) 4010 dissimilar (j) 396 dissimilarity (n) 141,
66,discuss,"44,798",discussion (n) 23781 discuss (v) 21017 discussed (j) Edu 22 undiscussed (j) Rel 17,
67,rate,"44,493",rate (n) 44493 rating (n) Edu 8905 rate (v) Edu 5374 rater (n) Edu 525 rated (j) Edu 135,
68,figure,"44,084",figure (n) 44084 fig (n) Hum 9926 figure (v) 6664 figural (j) Hum 305 figuration (n) Hum 173 figuring (n) 19,
69,focus,"44,055",focus (v) 28692 focus (n) 14735 focused (j) 628 unfocused (j) Edu 81 focusing (j) Sci 72 focusing (n) 56 focussed (j) Law 15 unfocussed (j) Soc 2,
70,factor,"43,871",factor (n) 43871 factor (v) 376 factoring (n) Edu 18,
71,structure,"43,843",structure (n) 30887 structural (j) 6340 structured (j) 1789 structure (v) 1776 restructuring (n) 1488 restructure (v) 1020 structurally (r) 439 structuring (n) 406unstructured (j) Edu 261 structuralist (j) Hum 239 structuralism (n) Hum 133 restructured (j) 104,
72,apply,"43,687",apply (v) 22641 application (n) 18335 applied (j) 2711 reapplication (n) Med 16,
73,compare,"43,595",compare (v) 27616 comparison (n) 12058 comparable (j) 3562 comparability (n) 220 comparably (r) 139 incomparable (j) 107 incomparably (r) 40,
74,observe,"43,002",observe (v) 20645 observation (n) 13512 observer (n) 7997 observatory (n) Sci 3766 observed (j) 1716 observational (j) 947 observable (j) 848 observant (j) Rel 171unobserved (j) 76 unobservable (j) 61 unobservant (j) Rel 3,
75,specific,"42,821",specific (j) 28840 specifically (r) 11133 specification (n) 1634 specificity (n) 1214 specific (n) 574 unspecific (j) 12,
76,need,"42,370",need (v) 75094 need (n) 42193 needless (j) 552 needed (j) 177 needlessly (r) 144 unneeded (j) 63 needful (j) Rel 25,
77,reduce,"42,189",reduce (v) 29853 reduction (n) 10007 reduced (j) 2329 reductionism (n) 172 reducible (j) 125 reducing (j) Med 111,
78,base,"42,082",base (v) 42082 base (n) 13241 baseless (j) 50 base (j) 43 basing (j) His 14 basing (n) His 10,
79,region,"42,022",region (n) 28595 regional (j) 13153 regionally (r) 274 regionalism (n) His 222 regionalist (j) Hum 56 regional (n) Hum+Fin 17 regionalist (n) 15,
80,current,"41,752",current (j) 30626 currently (r) 11126 current (n) 1826,
81,image,"41,537",image (n) 38020 imagery (n) 3517 imaging (n) Sci 2472 image (v) Sci 1022 imaged (j) 33 imaging (j) Sci 22,
82,strategy,"41,449",strategy (n) 33515 strategic (j) 7274 strategically (r) 660 strategist (n) Fin 517,
83,exist,"41,285",exist (v) 20901 existing (j) 10580 existence (n) 9678 nonexistent (j) 806 existent (j) 126,
84,population,"40,902",population (n) 40902 populate (v) 1093 populated (j) 118 unpopulated (j) 30,
85,international,"40,746",international (j) 40746 internationally (r) 1235 internationalism (n) His 249 internationalization (n) Law 234 internationalist (n) His+Law 189 internationalize (v) His105 international (n) Edu 39 internationalist (j) His 24,
86,project,"40,367",project (n) 36260 project (v) 3432 projection (n) 2783 projected (j) 1324 projecting (j) Hum 213 projective (j) 127 projectionist (n) 11,
87,standard,"40,249",standard (n) 26890 standard (j) 11991 standardized (j) Edu 2896 standardize (v) 718 standardization (n) 650 substandard (j) 182 standardised (j) Med 56unstandardized (j) Soc 52,
88,subject,"39,894",subject (n) 37608 subject (i) 4738 subject (v) 2286 subject (j) Edu 245,
89,period,"38,952",period (n) 35597 periodic (j) 1539 periodically (r) 1245 periodical (n) 571 periodicity (n) Sci 115,
90,type,"38,893",type (n) 38893 type (v) 837 subtype (n) Edu 403,
91,describe,"38,599",describe (v) 38500 described (j) 99 indescribable (j) Hum 44 describer (n) Rel 12 indescribably (r) 8,
92,condition,"38,429",condition (n) 36933 conditioning (n) Med 1088 condition (v) 705 conditional (j) 659 unconditional (j) 498 conditioner (n) Med 472 conditioned (j) Rel 174 unconditionally (r) 138 conditional (n) 132 conditionally (r) 73 unconditioned (j) Rel 56,
93,improve,"38,048",improve (v) 20714 improvement (n) 10976 improved (j) 4279 improving (j) 2079 unimproved (j) 28,
94,material,"38,042",material (n) 37206 materialism (n) Rel 703 material (j) 510 materially (r) 326 materialistic (j) Rel 305 materiality (n) Hum 304 materialist (n) 292 materialist (j) Hum28,
95,note,"37,884",note (v) 32829 note (n) Law 16217 notably (r) 2742 notable (j) 2313 noted (j) 467 notable (n) His 124,
96,define,"37,705",define (v) 23125 definition (n) 11955 redefine (v) 1296 defining (j) 702 defined (j) 563 redefinition (n) 341 undefined (j) 170 definitional (j) Edu 165 definable (j) 110predefined (j) 104 redefined (j) 41 indefinable (j) Hum 36 undefinable (j) 17 redefining (n) Edu+Hum 13,
97,establish,"37,704",establish (v) 27926 establishment (n) 6858 established (j) 2793 reestablishment (n) 127 establishing (n) Hum 52,
98,produce,"37,198",produce (v) 37198 producer (n) 4747 produce (n) Med 676 producing (j) 123 produced (j) 57,
99,response,"37,021",response (n) 36231 response (i) 4550 responsive (j) Edu 1533 responsiveness (n) 790 unresponsive (j) 165 responsively (r) Edu+Law 8,
100,likely,"36,978",likely (j) 32958 likely (r) 5042 unlikely (j) 4792 likelihood (n) 4020,
101,influence,"36,829",influence (n) 18105 influence (v) 15499 influential (j) 3225 influencing (j) Edu 25 uninfluenced (j) 24,
102,knowledge,"36,633",knowledge (n) 36633 knowledgeable (j) Edu 1361 knowledgeably (r) 30 knowledgable (j) 11,
103,represent,"36,605",represent (v) 32705 representation (n) Hum 9720 representative (n) 6994 representative (j) 3586 rep (n) Law+Med 2715 representational (j) Hum 617representativeness (n) 154 unrepresentative (j) 102 representing (j) 58 unrepresented (j) Law 52,
104,common,"36,352",common (j) 30755 commonly (r) 5597 uncommon (j) 1188 common (r) 1139 commoner (n) 205 uncommonly (r) 78 commonness (n) Edu 29,
105,limit,"36,263",limit (v) 15973 limited (j) 10632 limit (n) 9320 limitation (n) 8646 limiting (j) 1012 unlimited (j) 1003 limitless (j) 312,
106,approach,"36,092",approach (n) 36092 approach (v) 8131 approaching (j) 178 approachable (j) Edu 88 unapproachable (j) Hum 34,
107,theory,"36,078",theory (n) 33143 theorist (n) 2935,
108,enjoy,"35,191",enjoy (v) 10605 enjoyment (n) Soc 1633 enjoyable (j) 670,
109,source,"34,883",source (n) 34883 source (v) 121 sourcing (n) 15,
110,mean,"34,872",mean (v) 39879 mean (n) 18373 meaning (n) 16027 mean (j) Edu 10334 meaningful (j) Edu 5160 meaningless (j) 723 meaningfully (r) 299 meaningfulness (n) 173meaninglessness (n) Rel 119,
111,method,"34,819",method (n) 33105 methodology (n) Edu 4213 methodological (j) 1528 methodical (j) 190 methodologically (r) 186 methodically (r) 146,
112,available,"34,790",available (j) 30610 availability (n) 4095 unavailable (j) 678 unavailability (n) 85,
113,participate,"34,316",participate (v) 16873 participation (n) 14841 participating (j) 1534 participatory (j) 926 participative (j) 142,
114,function,"34,163",function (n) 21755 function (v) 6084 functional (j) 5374 functioning (n) Edu 2289 functionally (r) 512 functionality (n) Sci 483 functioning (j) 321 functionalist (n)117 functionalism (n) Hum 75,
115,resource,"33,989",resource (n) 33989 resourceful (j) 213 resourcefulness (n) 159,
116,potential,"33,857",potential (j) 17472 potential (n) 10370 potentially (r) 6015 potentiality (n) Hum 216,
117,range,"33,795",range (n) 22219 range (v) 11521 midrange (n) Sci 86 ranging (j) 55,
118,century,"33,736",century (n) 33736 nineteenth-century (j) Hum 1906 twentieth-century (j) Hum 1078,
119,effective,"33,578",effective (j) 22853 effectively (r) 8203 effectiveness (n) Edu 7501 ineffective (j) 1394 cost-effective (j) 971 ineffectiveness (n) 157 ineffectively (r) 27,
120,concept,"33,529",concept (n) 23812 conception (n) 4712 conceptual (j) 4374 conceptualize (v) Edu 1388 self-concept (n) Edu+Soc 1155 conceptualization (n) Edu 1146 conceptually(r) 631 conceptualized (j) Hum 16,
121,determine,"33,455",determine (v) 31067 determination (n) 3207 self-determination (n) 1545 determinant (n) 1365 determined (j) 1057 determining (j) 1023 determinism (n) Soc 461deterministic (j) 257 indeterminacy (n) Hum 245 undetermined (j) 110 determinative (j) Law+Rel 88 determinist (n) 79 determinedly (r) Law 52 determinable (j) 25,
122,occur,"33,313",occur (v) 30702 occurrence (n) 2611 reoccur (v) Med 29 reoccurring (j) Edu 15 occurring (j) 12,
123,goal,"33,049",goal (n) 33049,
124,article,"31,513",article (n) 31513,
125,environment,"31,481",environmental (j) 35191 environment (n) 31116 environmentally (r) Sci 1723 environmentalist (n) Law 1158 environmentalism (n) 365,
126,language,"31,095",language (n) 31095,
127,direct,"31,059",directly (r) 15805 direct (j) 15254 direct (v) 8598 direct (r) 149,
128,center,"31,048",center (n) 38946 central (j) 24774 center (v) 2724 centralized (j) 1145 centrality (n) 990 centrally (r) 527 centralization (n) 385 centralize (v) 367 centrist (j)His+Law 220 centered (j) 136 centralism (n) 44 centralizing (j) Law 36 centrist (n) Law 31 centering (j) Edu 30 centralist (n) 28 centric (j) Sci 19 centering (n) 14,
129,section,"30,856",section (n) 30856 subsection (n) Law 360 sectional (j) Hum 146 section (v) Med 80 sectional (n) Hum 15 sectioned (j) Med 8,
130,refer,"30,837",refer (v) 17809 reference (n) 12151 referral (n) Edu+Med 2136 reference (v) 877 referent (n) Hum 696 ref (n) Sci 307 referential (j) Hum 201 referred (j) Edu+Med 61referenced (j) Edu 44 referencing (n) Hum 21,
131,reflect,"30,829",reflect (v) 24309 reflection (n) 6520 reflective (j) Edu 1975 reflected (j) 264 reflectance (n) Sci 132 refrigerated (j) 99 reflectively (r) Edu 45 reflectiveness (n) Edu 16,
132,concern,"30,430",concern (n) 25937 concerned (j) 9792 concerning (i) 6966 concern (v) 4493 unconcerned (j) 127 unconcern (n) Rel 16,
133,quality,"29,583",quality (n) 28155 high-quality (j) 1428,
134,involve,"29,330",involve (v) 29330 involved (j) 12493 involvement (n) Edu 10723 uninvolved (j) 77,
135,move,"29,315",move (v) 35027 movement (n) 29315 move (n) 6233 moving (j) 942 movable (j) Hum 270 mover (n) 257 moving (n) 150 unmoved (j) 88 immovable (j) 66 moveable (j) 51movingly (r) 40 unmoving (j) Hum 13 moved (j) Rel 10 unmovable (j) Hum 7,
136,contribute,"29,129",contribute (v) 17112 contribution (n) 11291 contributor (n) 1837 contributing (j) 726 contributory (j) Med 108 noncontributory (j) Med 19,
137,select,"29,112",select (v) 12852 selection (n) 9227 selected (j) 3945 selective (j) 2156 select (j) 1348 selectively (r) 654 selectivity (n) 278 selector (n) Sci 69 unselected (j)Edu+Med 38,
138,scale,"29,071",scale (n) 26610 subscale (n) Edu+Soc 4293 large-scale (j) 2461 scale (v) 1176 scaling (n) 418 scaled (j) Edu 106 scalable (j) Sci 62,
139,maintain,"28,942",maintain (v) 23831 maintenance (n) 5032 maintained (j) 79 unmaintained (j) Sci 1,
140,male,"28,908",male (n) 14900 male (j) 14008 maleness (n) Rel 129,
141,female,"28,771",female (j) 15711 female (n) 13060 femaleness (n) Hum+Rel 63,
142,primary,"28,717",primary (j) 17725 primarily (r) 10992 primary (n) 1746,
143,positive,"28,538",positive (j) 24803 positively (r) 3572 positive (n) 255 positivism (n) Rel 197 positivist (j) 163 positivity (n) Med 114 positivist (n) 101 positivistic (j) 50,
144,author,"28,181",author (n) 27714 co-author (n) Med 1112 authorship (n) Hum 486 authorial (j) Hum 473 author (v) 467,
145,argue,"27,961",argue (v) 26358 argument (n) 15078 arguably (r) 1485 argumentation (n) Rel 180 arguable (j) 118 argumentative (j) 99 unarguably (r) 21 unarguable (j) Hum 14,
146,various,"27,680",various (j) 27132 variously (r) 548,
147,seek,"27,629",seek (v) 27629 seeker (n) Rel 594 seeking (n) Rel 151 sought (j) 133 unsought (j) 12,
148,attempt,"27,578",attempt (n) 15566 attempt (v) 12012 attempted (j) 608,
149,grow,"27,328",growth (n) 27328 grow (v) 24753 growing (j) 10815 grower (n) Sci 1446 regrowth (n) Sci+Med 121 growing (n) 92 grown (j) 48 regrow (v) Sci 34,
150,test,"27,244",test (n) Edu 36756 test (v) 18883 testing (n) 7978 pretest (n) Edu 1483 posttest (j) Edu 1205 subtest (n) Edu 936 tester (n) Med 692 tested (j) 205 testable (j) 178untested (j) 160 retest (n) Med 139 retest (v) Med 138 testing (j) 68 untestable (j) 22 retesting (n) Edu+Med 14,
151,example,"26,843",example (n) 26843,
152,lack,"26,816",lack (n) 17504 lack (v) 9312 lacking (j) 19,
153,state,"26,778",state (n) 103379 state (v) 25860 statement (n) 16529 stated (j) 802 unstated (j) 116,
154,review,"26,678",review (n) 16718 review (v) 8692 reviewer (n) 1268 reviewing (n) 99 reviewed (j) Edu 43 reviewable (j) Law 23,
155,manage,"26,648",management (n) 26648 manager (n) 13120 manage (v) 12502 managing (j) 1630 managerial (j) Edu 1240 managed (j) Med 723 manageable (j) 570 mismanagement(n) His 306 managing (n) 153 unmanageable (j) 113 mismanage (v) 71 mismanaged (j) 18,
156,survey,"26,442",survey (n) 22873 survey (v) 3569 surveyor (n) 392 surveyed (j) Edu 144 surveying (j) 17 surveying (n) Soc 13,
157,vary,"26,402",variable (n) Edu 23896 vary (v) 10043 variation (n) 8445 variance (n) Edu 5992 varying (j) 2500 variability (n) 2323 varied (j) 1948 variable (j) 1946 variant (n) 1520invariably (r) 1174 invariant (j) 262 invariance (n) Sci 153 variate (n) Edu 98 invariable (j) Hum 50 variably (r) Med 35 unvarying (j) 33,
158,degree,"26,200",degree (n) 26200,
159,global,"26,073",global (j) 21589 globalization (n) 3018 globally (r) 912 globalized (j) 316 globalize (v) 169 globalism (n) 125 globalizing (j) 69,
160,examine,"25,910",examine (v) 25731 examination (n) Med 7824 examiner (n) Edu 695 unexamined (j) 179 examined (j) Rel 139 examinee (n) Edu 66,
161,tend,"25,815",tend (v) 18816 tendency (n) 6999 tending (n) Hum 11 tended (j) 10,
162,therefore,"25,808",therefore (r) 25808,
163,pattern,"25,705",pattern (n) 25705 patterned (j) 421 patterning (n) Hum 167 pattern (v) 125 patterning (j) Sci 21,
164,access,"25,664",access (n) 17146 access (v) 4229 accessible (j) 2855 accessibility (n) 962 inaccessible (j) 472 inaccessibility (n) Hum 81,
165,interact,"25,543",interaction (n) 17901 interact (v) 4529 interactive (j) 2687 interacting (j) 339 interactional (j) Med 207 interactionism (n) Edu+Soc+Med 89 interactively (r) 87,
166,task,"25,244",task (n) 25244 task (v) 117,
167,recognize,"25,090",recognize (v) 24165 recognizable (j) Hum 770 recognized (j) 597 unrecognized (j) 328 unrecognizable (j) 115 recognizably (r) Hum 89 recognised (j) Med 24recognisable (j) Med 15,
168,previous,"24,886",previous (j) 15796 previously (r) 9090,
169,find,"24,873",find (v) 115811 finding (n) 24873 find (n) Soc 607 finder (n) Sci 568,
170,act,"24,769",action (n) 35869 act (n) 24769 act (v) 15765 actor (n) 5526 actress (n) 487 inaction (n) 335 acting (j) 247 acting (n) 150 actionable (j) Law 66,
171,equal,"24,721",equal (j) 9869 equally (r) 6964 equality (n) 3795 inequality (n) 2445 equal (v) 1152 unequal (j) 972 equal (n) 356 equalize (v) 251 equalization (n) 115 unequally (r) 69equalizer (n) 66 equalizing (j) 21 unequalled (j) His 18,
172,impact,"24,659",impact (n) 24599 impact (v) Edu 1268 impacted (j) 60 impacting (j) Sci 17,
173,conflict,"24,365",conflict (n) 21511 conflicting (j) 1763 conflict (v) 945 conflictual (j) 146 conflicted (j) Rel 136,
174,context,"24,324",context (n) 24121 contextual (j) Edu 1433 contextually (r) 151 contextualized (j) 52,
175,communicate,"24,073",communication (n) 17757 communicate (v) 6070 communicative (j) Hum 717 communicator (n) 390 communicating (j) 246 communicating (n) Edu 103uncommunicative (j) Rel 15,
176,africa,"23,820",African (j) 23820 African (n) His 2093,
177,contain,"23,809",contain (v) 22632 container (n) 2503 containment (n) 1029 contained (j) 148 containing (j) 16,
178,relative,"23,648",relatively (r) 16084 relative (j) 7440 relative (n) 4310 relativism (n) Rel 598 relativistic (j) 350 relativist (n) 124 relativize (v) Rel 90,
179,critic,"23,450",critical (j) 21381 critic (n) Hum 8207 critically (r) 1647 uncritical (j) 244 uncritically (r) 178,
180,purpose,"23,261",purpose (n) 23214 purposeful (j) Edu 535 purposefully (r) 290 purposely (r) 269 purposive (j) Edu 158 purposeless (j) Rel 55 purpose (v) 47 purposefulness (n) Edu 22purposelessness (n) Hum+Rel 9,
181,address,"23,176",address (v) 23176 address (n) 6069 addressee (n) Hum 265 addressed (j) 37,
182,success,"23,050",success (n) 22544 successful (j) 16409 successfully (r) 5461 unsuccessful (j) 1180 unsuccessfully (r) 303,
183,interpret,"23,032",interpretation (n) 12483 interpret (v) 8685 interpretive (j) 1313 interpreter (n) 1280 interpretative (j) Hum 290 misinterpret (v) 272 reinterpretation (n) 222misinterpretation (n) 206 reinterpret (v) 123 interpretable (j) Edu 114 interpreting (n) 40 interpreted (j) 20,
184,benefit,"23,018",benefit (n) 23018 benefit (v) 7133,
185,attitude,"22,815",attitude (n) 22142 attitudinal (j) 673,
186,affect,"22,637",affect (v) 22206 affect (n) Soc 2320 affected (j) Med 1132 unaffected (j) 431 affecting (j) 37,
187,understand,"22,526",understand (v) 38406 understanding (n) 22450 understandable (j) 1118 misunderstanding (n) 957 misunderstand (v) 674 understandably (r) 573 understood (j) 76misunderstood (j) 73 understanding (j) 27 understandingly (r) His 1,
188,link,"22,395",link (v) 11650 link (n) 7959 linkage (n) 2021 linked (j) 525 linking (n) 193 interlink (v) 47 interlinked (j) 44,
189,reveal,"22,238",reveal (v) 22238 revelation (n) Rel 2871 revealing (j) 598 revealed (j) Rel 197 revealingly (r) 22 unrevealed (j) Rel 11 reveal (n) Med 7,
190,status,"22,138",status (n) 22138,
191,necessary,"22,087",necessary (j) 22087 necessarily (r) 7663 unnecessary (j) 1587 unnecessarily (r) 300 necessary (n) Law 67,
192,emerge,"22,028",emerge (v) 14077 emerging (j) 3947 emergence (n) 3151 emergent (j) 853 emergent (n) 71,
193,achieve,"21,851",achieve (v) 21493 achievement (n) Edu 14117 achievable (j) 358 achiever (n) Edu 356 achieved (j) 54 unachievable (j) 51,
